price,bedrooms,bathrooms,addr,apt,lat,lng,zipcode
"3,395",2,1,106 Norfolk St,15F,40.71882,-73.986863,10002
"4,950",1,1,105 Norfolk St,4A,40.7188723,-73.9873604,10002
"4,500",1,1,105 Norfolk St,10C,40.7188723,-73.9873604,10002
"2,363",1,1,99 Allen St,6,40.7188957,-73.9909292,10002
"2,995",2,1,79 Clinton St,2AK,40.718932,-73.9852922,10002
"2,095",1,1,95 Pitt St,3,40.718938,-73.982546,10002
"1,500",3,1,Delancey St and Orchard St,,40.718962,-73.9898099,10002
"4,550",2,2,157 Rivington St,G1,40.7190176,-73.9855386,10002
"2,590",1,1,61 Delancey St,1E,40.719099,-73.9908628,10002
"3,775",3,1,55 Delancey St,1W,40.7191663,-73.9912016,10002
"2,495",2,1,47 Delancey St,307,40.7192881,-73.9915647,10002
"2,350",1,1,137 Rivington St,3C,40.7193172,-73.9865046,10002
"2,429",1,1,69 Clinton St,4A,40.7193586,-73.9851049,10002
"3,295",2,1,122 Orchard St,15R,40.7194506,-73.9893009,10002
"3,350",2,1,122 Orchard St,15,40.7194506,-73.9893009,10002
"2,495",1,1,63 Clinton St,E,40.719503,-73.985142,10002
"3,295",2,1,63 Clinton St,4F,40.719503,-73.985142,10002
"2,595",1,1,122 Ludlow St,4B,40.7196298,-73.9883361,10002
"3,375",2,1,121 Rivington St,21B,40.7196685,-73.9873381,10002
"4,195",3,1,129 Orchard St,,40.7196907,-73.989708,10002
"6,895",4,2,141 Attorney St,2AJ,40.7197413,-73.9839276,10002
"4,195",2,1,134 Orchard St,3,40.7197687,-73.9891562,10002
"4,650",3,1,126 Rivington St,3A,40.71981,-73.9870101,10002
"3,195",1,8,169 Bowery,6A,40.719862,-73.9937752,10002
"2,575",1,1,45 Clinton St,7J,40.7198873,-73.9849133,10002
"6,695",2,2,38 Delancey St,4B,40.7199351,-73.9916562,10002
"6,500",2,2,38 Delancey St,11B,40.7199351,-73.9916562,10002
"9,095",3,6,145 Attorney St,1A,40.7201669,-73.9837528,10002
"2,800",2,1,Clinton St and Stanton St,,40.7202397,-73.9844817,10002
"1,800",2,1,Orchard St and Rivington St,,40.7203139,-73.9891192,10002
"2,900",2,1,90 Rivington St,5D,40.7203295,-73.9887597,10002
"2,850",2,1,12 Delancey St,10,40.7203671,-73.9931755,10002
"2,850",2,1,12 Delancey St,9,40.7203671,-73.9931755,10002
"3,150",2,1,139 Essex St,11,40.720393,-73.9875605,10002
"3,220",2,1,139 Essex St,12,40.720393,-73.9875605,10002
"4,000",2,1,144 Orchard St,4C,40.7204088,-73.9889216,10002
"2,095",1,1,141 Essex St,1B,40.7204555,-73.987522,10002
"4,200",2,2,26 Clinton St,6A,40.7204579,-73.9841388,10002
"3,300",2,1,158 Stanton St,,40.7205081,-73.9849619,10002
"2,355",1,4,25 Clinton St,401,40.720552,-73.9845393,10002
"1,945",1,3,150 Orchard St,4D,40.7206335,-73.9886725,10002
"2,750",1,1,163 Chrystie St,9,40.7206728,-73.9928878,10002
"2,850",1,1,166 Suffolk St,C,40.7207205,-73.9850203,10002
"2,100",1,1,154 Orchard St,14,40.7207582,-73.9886032,10002
"3,100",1,1,19 Clinton St,501,40.7207593,-73.9844292,10002
"4,250",1,1,152 Ludlow St,6C,40.7208185,-73.9877525,10002
"2,050",1,6,156 Allen St,4B,40.7208251,-73.9892855,10002
"1,925",1,5,156 Orchard St,1F,40.72085,-73.9886533,10002
"1,945",1,4,165 Attorney St,5C,40.720852,-73.983483,10002
"2,100",1,1,160 Allen St,4,40.7208948,-73.9891406,10002
"2,800",2,1,151 Allen St,4C,40.7209079,-73.9899226,10002
"2,100",1,5,151 Allen St,4,40.7209079,-73.9899226,10002
"5,350",3,1,157 Suffolk St,103,40.7209355,-73.9853692,10002
"4,400",3,1,157 Suffolk St,301,40.7209355,-73.9853692,10002
"2,895",1,1,160 Orchard St,5F,40.72098,-73.9885896,10002
"3,400",1,1,157 Ludlow St,3F,40.7210004,-73.988132,10002
"2,250",1,1,176 Suffolk St,2C,40.721006,-73.984769,10002
"2,195",1,1,176 Suffolk St,3A,40.721006,-73.984769,10002
"4,100",2,1,162 Orchard St,2B,40.7210352,-73.9885259,10002
"4,295",2,1,309 E Houston St,6E,40.7210634,-73.983508,10002
"2,699",1,4,199 Bowery,6E,40.7210677,-73.9933534,10002
"6,500",2,2,199 Bowery,7D,40.7210677,-73.9933534,10002
"2,650",2,1,40 Rivington St,18,40.7210991,-73.9910864,10002
"2,800",1,1,3 Clinton St,4,40.7212003,-73.9841142,10002
"3,495",3,1,188 Suffolk St,1BW,40.7214945,-73.9846749,10002
"4,500",3,1,188 Suffolk St,3C,40.7214945,-73.9846749,10002
"3,495",2,1,188 Suffolk St,1B,40.7214945,-73.9846749,10002
"2,287",1,1,165 Ludlow St,4D,40.721559,-73.9877742,10002
"1,750",1,3,174 Ludlow St,11,40.7215891,-73.9873471,10002
"1,795",1,3,176 Ludlow St,3H,40.721668,-73.987267,10002
"2,462",1,1,175 Orchard St,3,40.7217573,-73.9886214,10002
"2,510",1,1,175 Orchard St,5CF,40.7217573,-73.9886214,10002
"2,500",1,1,179 Orchard St,5,40.7218935,-73.9885947,10002
